country,avg
Afghanistan,2.5714285714285716
Albania,2.783333333333333
Algeria,2.46831955922865
American Samoa,3.0
Andorra,2.4444444444444446
Angola,2.5238095238095237
Anguilla,3.0
Anonymous Proxy,3.108108108108108
Antigua and Barbuda,3.0
Argentina,2.537970644543714
Armenia,3.111111111111111
Aruba,1.6666666666666667
Asia/Pacific Region,2.727272727272727
Australia,2.556607657472211
Austria,2.6847408829174664
Azerbaijan,3.3333333333333335
Bahamas,2.7142857142857144
Bahrain,2.8823529411764706
Bangladesh,2.7367088607594936
Barbados,2.4166666666666665
Belarus,3.0
Belgium,2.576580226904376
Belize,2.888888888888889
Benin,2.4871794871794872
Bhutan,2.3333333333333335
Bolivia,2.413265306122449
Bosnia and Herzegovina,2.923076923076923
Botswana,2.3076923076923075
Brazil,2.561901773105288
Brunei Darussalam,2.4166666666666665
Bulgaria,2.958904109589041
Burkina Faso,2.185185185185185
Burundi,2.357142857142857
Cambodia,2.6666666666666665
Cameroon,2.405286343612335
Canada,2.5789838337182447
Cape Verde,2.1666666666666665
Cayman Islands,3.5
Central African Republic,2.0
Chad,2.0
Chile,2.581090909090909
China,2.789473684210526
Christmas Island,2.0
Colombia,2.549251021334544
Comoros,3.0
Congo,2.5
"Congo, The Democratic Republic of the",2.590909090909091
Costa Rica,2.5952941176470588
Cote D'Ivoire,2.5753968253968256
Croatia,2.865497076023392
Cuba,2.5757575757575757
Curacao,2.5
Cyprus,2.742857142857143
Czech Republic,2.972413793103448
Denmark,2.9318181818181817
Djibouti,1.875
Dominica,2.0
Dominican Republic,2.656387665198238
Ecuador,2.3785772690106297
Egypt,2.857142857142857
El Salvador,2.5
Equatorial Guinea,2.25
Estonia,2.980392156862745
Ethiopia,2.4827586206896552
Europe,2.7643312101910826
Fiji,2.6470588235294117
Finland,2.9302325581395348
France,2.5680654407265466
French Guiana,2.4791666666666665
French Polynesia,2.4597701149425286
Gabon,2.4347826086956523
Gambia,3.0
Georgia,2.727272727272727
Germany,2.600699067909454
Ghana,2.728395061728395
Gibraltar,2.5
Greece,2.8645833333333335
Grenada,2.0
Guadeloupe,2.5051546391752577
Guam,2.6666666666666665
Guatemala,2.5673076923076925
Guernsey,2.9166666666666665
Guinea,2.4375
Guyana,2.533333333333333
Haiti,2.5217391304347827
Holy See (Vatican City State),2.0
Honduras,2.663157894736842
Hong Kong,2.9452054794520546
Hungary,2.786324786324786
Iceland,2.8666666666666667
India,2.766700150678051
Indonesia,2.6617283950617283
"Iran, Islamic Republic of",2.8972602739726026
Iraq,3.107142857142857
Ireland,2.696132596685083
Isle of Man,2.230769230769231
Israel,2.8645161290322583
Italy,2.5150490848286524
Jamaica,2.2857142857142856
Japan,2.784313725490196
Jersey,2.5714285714285716
Jordan,3.0384615384615383
Kazakhstan,2.888888888888889
Kenya,2.6328125
"Korea, Republic of",2.6956521739130435
Kuwait,2.5
Kyrgyzstan,2.0
Lao People's Democratic Republic,2.7142857142857144
Latvia,2.923076923076923
Lebanon,2.8636363636363638
Lesotho,2.5
Liberia,2.857142857142857
Libya,2.6666666666666665
Liechtenstein,2.75
Lithuania,2.921875
Luxembourg,2.574766355140187
Macau,3.0
Macedonia,3.0344827586206895
Madagascar,2.48125
Malawi,2.5454545454545454
Malaysia,2.6206896551724137
Maldives,2.75
Mali,2.4150943396226414
Malta,2.627906976744186
Marshall Islands,2.0
Martinique,2.5098039215686274
Mauritania,3.0
Mauritius,2.596774193548387
Mayotte,2.4166666666666665
Mexico,2.536853188929001
"Micronesia, Federated States of",4.0
"Moldova, Republic of",2.8333333333333335
Monaco,2.5714285714285716
Mongolia,2.6470588235294117
Montenegro,2.923076923076923
Morocco,2.652173913043478
Mozambique,2.3636363636363638
Myanmar,2.6271186440677967
Namibia,2.5
Nepal,2.672
Netherlands,2.8714479025710418
New Caledonia,2.4592592592592593
New Zealand,2.4786324786324787
Nicaragua,2.36875
Niger,2.44
Nigeria,2.6448979591836737
Northern Mariana Islands,2.0
Norway,2.909465020576132
Oman,2.625
Pakistan,2.6843853820598005
Palestinian Territory,2.5
Panama,2.49685534591195
Papua New Guinea,2.7
Paraguay,2.5129151291512914
Peru,2.519047619047619
Philippines,2.5846867749419955
Poland,3.2204301075268815
Portugal,2.7467105263157894
Puerto Rico,2.489795918367347
Qatar,2.6296296296296298
Reunion,2.418230563002681
Romania,3.0
Russian Federation,3.0055555555555555
Rwanda,2.6923076923076925
Saint Kitts and Nevis,2.5
Saint Lucia,2.5
Saint Martin,2.0
Saint Pierre and Miquelon,2.8333333333333335
Saint Vincent and the Grenadines,2.0
San Marino,2.533333333333333
Sao Tome and Principe,2.0
Saudi Arabia,2.8295454545454546
Senegal,2.5323741007194243
Serbia,3.0
Seychelles,2.0
Sierra Leone,2.25
Singapore,2.6809815950920246
Sint Maarten (Dutch part),3.0
Slovakia,2.9565217391304346
Slovenia,2.835616438356164
Solomon Islands,3.0
Somalia,3.0
South Africa,2.719298245614035
South Sudan,3.0
Spain,2.594803370786517
Sri Lanka,2.6483516483516483
Sudan,2.9047619047619047
Suriname,3.0
Swaziland,2.8
Sweden,3.057926829268293
Switzerland,2.6229416689924645
Syrian Arab Republic,3.0
Taiwan,2.938775510204082
Tajikistan,4.0
"Tanzania, United Republic of",2.7547169811320753
Thailand,2.6300578034682083
Togo,2.259259259259259
Tonga,1.5
Trinidad and Tobago,2.7096774193548385
Tunisia,2.652173913043478
Turkey,3.0472972972972974
Turks and Caicos Islands,3.0
Uganda,2.611111111111111
Ukraine,3.164383561643836
United Arab Emirates,2.814814814814815
United Kingdom,2.626946107784431
United States,2.592228135354955
Uruguay,2.4557235421166306
Uzbekistan,2.0
Vanuatu,3.0
Venezuela,2.398293963254593
Vietnam,2.752808988764045
"Virgin Islands, U.S.",3.0
Wallis and Futuna,
Yemen,3.0
Zambia,2.4782608695652173
Zimbabwe,2.69811320754717
